model,accuracy,precision,recall,f1
linear_svm,0.6195737963693765,0.5694716242661448,0.5262206148282098,0.5469924812030075
logistic_regression,0.6243093922651933,0.5964912280701754,0.43037974683544306,0.5
random_forest,0.6101026045777427,0.5746835443037974,0.4104882459312839,0.47890295358649787
naive_bayes,0.611681136543015,0.607773851590106,0.31103074141048825,0.41148325358851673
