model,accuracy,precision,recall,f1
distilbert_finetuned,0.7762641422304317,0.7309236947791165,0.7181510710259301,0.724481091839636
linear_svm,0.6195737963693765,0.5694716242661448,0.5262206148282098,0.5469924812030075
logistic_regression,0.6243093922651933,0.5964912280701754,0.430379746835443,0.5
random_forest,0.6101026045777427,0.5746835443037974,0.4104882459312839,0.4789029535864978
naive_bayes,0.611681136543015,0.607773851590106,0.3110307414104882,0.4114832535885167
